A00;Choléra
I65;Occlusion et sténose des artères précérébrales, n'entraînant pas un
I66;Occlusion et sténose des artères cérébrales, n'entraînant pas un
I67;Autres maladies cérébrovasculaires
I68;Troubles cérébrovasculaires au cours de maladies classées ailleurs
I69;Séquelles de maladies cérébrovasculaires
I70;Athérosclérose
I71;Anévrisme aortique et dissection
I72;Autres anévrismes et dissections
I73;Autres maladies vasculaires périphériques
I74;Embolie et thrombose artérielles
I77;Autres atteintes des artères et artérioles
I78;Maladies des capillaires
I79;Atteintes des artères, artérioles et capillaires au cours de
I80;Phlébite et thrombophlébite
I81;Thrombose de la veine porte
I82;Autres embolies et thromboses veineuses
I83;Varices des membres inférieurs
I85;Varices œsophagiennes
I86;Varices d'autres localisations
I87;Autres atteintes veineuses
I88;Lymphadénite non spécifique
I89;Autres atteintes non infectieuses des vaisseaux et des ganglions
I95;Hypotension
I97;Troubles de l'appareil circulatoire après un acte à visée
I98;Autres troubles de l'appareil circulatoire au cours de maladies
I99;Troubles autres et non précisés de l'appareil circulatoire
J00;Rhinopharyngite aigüe [rhume banal]
J01;Sinusite aigüe
J02;Pharyngite aigüe
J03;Amygdalite aigüe
J04;Laryngite et trachéite aigües
J05;Laryngite obstructive aigüe [croup] et épiglottite aigüe
J06;Infections aigües des voies respiratoires supérieures, à
J09;Grippe, à certains virus grippaux identifiés
J10;Grippe, à autre virus grippal identifié
J11;Grippe, virus non identifié
J12;Pneumopathies virales, non classées ailleurs
J13;Pneumonie due à Streptococcus pneumoniae
J14;Pneumopathie due à Haemophilus influenzae
J15;Pneumopathies bactériennes, non classées ailleurs
J16;Pneumopathie due à d'autres microorganismes infectieux, non classée
J17;Pneumopathie au cours de maladies classées ailleurs
J18;Pneumopathie à microorganisme non précisé
J20;Bronchite aigüe
J21;Bronchiolite aigüe
J22;Infection aigüe des voies respiratoires inférieures, sans précision
J30;Rhinite allergique et vasomotrice
J31;Rhinite, rhinopharyngite et pharyngite chroniques
J32;Sinusite chronique
J33;Polype nasal
J34;Autres maladies du nez et des sinus du nez
J35;Maladies chroniques des amygdales et des végétations adénoïdes
J36;Angine phlegmoneuse
J37;Laryngite et laryngotrachéite chroniques
J38;Maladies des cordes vocales et du larynx, non classées ailleurs
J39;Autres maladies des voies respiratoires supérieures
J40;Bronchite, non précisée aigüe ou chronique
J41;Bronchite chronique simple et mucopurulente
J42;Bronchite chronique, sans précision
J43;Emphysème
J44;Autres maladies pulmonaires obstructives chroniques
J45;Asthme
J46;État de mal asthmatique
J47;Bronchectasie
J60;Pneumoconiose des mineurs de charbon
J61;Pneumoconiose due à l'amiante et à d'autres fibres minérales
J62;Pneumoconiose due à la poussière de silice
J63;Pneumoconiose due à d'autres poussières inorganiques
J64;Pneumoconiose, sans précision
J65;Pneumoconiose associée à la tuberculose
J66;Affections des voies aériennes dues à des poussières organiques
J67;Pneumopathie par hypersensibilité aux poussières organiques
J68;Affections respiratoires dues à l'inhalation d'agents chimiques,
J69;Pneumopathie due à des substances solides et liquides
J70;Affections respiratoires dues à d'autres agents externes
J80;Syndrome de détresse respiratoire de l'adulte
J81;Œdème pulmonaire
J82;Éosinophilie pulmonaire, non classée ailleurs
J84;Autres affections pulmonaires interstitielles
J85;Abcès du poumon et du médiastin
J86;Pyothorax
J90;Épanchement pleural, non classé ailleurs
J91;Épanchement pleural au cours de maladies classées ailleurs
J92;Plaque pleurale
J93;Pneumothorax
J94;Autres affections pleurales
J95;Troubles respiratoires après un acte à visée diagnostique et
J96;Insuffisance respiratoire, non classée ailleurs
J98;Autres troubles respiratoires
J99;Troubles respiratoires au cours de maladies classées ailleurs
K00;Troubles de l'odontogénèse
K01;Dents incluses et enclavées
K02;Caries dentaires
K03;Autres maladies des tissus dentaires durs
K04;Maladies de la pulpe et des tissus périapicaux
K05;Gingivite et maladies périodontales
K06;Autres affections de la gencive et de la crête alvéolaire édentée
K07;Anomalies dentofaciales [y compris les malocclusions]
K08;Autres affections des dents et du parodonte
K09;Kystes de la région buccale, non classés ailleurs
K10;Autres maladies des mâchoires
K11;Maladies des glandes salivaires
K12;Stomatites et affections apparentées
K13;Autres maladies des lèvres et de la muqueuse buccale
K14;Maladies de la langue
K20;Œsophagite
K21;Reflux gastroœsophagien
K22;Autres maladies de l'œsophage
K23;Atteintes de l'œsophage au cours de maladies classées ailleurs
K25;Ulcère de l'estomac
K26;Ulcère du duodénum
K27;Ulcère digestif, de siège non précisé
K28;Ulcère gastrojéjunal
K29;Gastrite et duodénite
K30;Dyspepsie fonctionnelle
K31;Autres maladies de l'estomac et du duodénum
K35;Appendicite aigüe
K36;Autres formes d'appendicite
K37;Appendicite, sans précision
K38;Autres maladies de l'appendice
K40;Hernie inguinale
K41;Hernie crurale
K42;Hernie ombilicale
K43;Autres hernies de la paroi abdominale antérieure
K44;Hernie diaphragmatique
K45;Autres hernies abdominales
K46;Hernie abdominale non précisée
K50;Maladie de Crohn [entérite régionale]
K51;Rectocolite hémorragique [colite ulcéreuse]
K52;Autres gastroentérites et colites non infectieuses
K55;Troubles vasculaires de l'intestin
K56;Iléus paralytique et occlusion intestinale sans hernie
K57;Diverticulose de l'intestin
K58;Syndrome de l'intestin irritable
K59;Autres troubles fonctionnels de l'intestin
K60;Fissure et fistule des régions anale et rectale
K61;Abcès des régions anale et rectale
K62;Autres maladies de l'anus et du rectum
K63;Autres maladies de l'intestin
K64;Hémorroïdes et thrombose veineuse périanale
K65;Péritonite
K66;Autres maladies du péritoine
K67;Atteintes péritonéales au cours de maladies infectieuses classées
K70;Maladie alcoolique du foie
K71;Maladie toxique du foie
K72;Insuffisance hépatique, non classée ailleurs
K73;Hépatite chronique, non classée ailleurs
K74;Fibrose et cirrhose du foie
K75;Autres maladies inflammatoires du foie
K76;Autres maladies du foie
K77;Atteintes hépatiques au cours de maladies classées ailleurs
K80;Cholélithiase
K81;Cholécystite
K82;Autres maladies de la vésicule biliaire
K83;Autres maladies des voies biliaires
K85;Pancréatite aigüe
K86;Autres maladies du pancréas
K87;Atteintes de la vésicule biliaire, des voies biliaires et du
K90;Malabsorption intestinale
K91;Atteintes de l'appareil digestif après un acte à visée diagnostique
K92;Autres maladies du système digestif
K93;Atteintes d'autres organes de l'appareil digestif au cours de
L00;Syndrome d'épidermolyse staphylococcique du nourrisson
L01;Impétigo
L02;Abcès cutané, furoncle et anthrax
L03;Phlegmon
L04;Lymphadénite aigüe
L05;Sinus pilonidal
L08;Autres infections localisées de la peau et du tissu cellulaire
L10;Pemphigus
L11;Autres acantholyses
L12;Pemphigoïde
L13;Autres dermatoses bulleuses
L14;Dermatoses bulleuses au cours de maladies classées ailleurs
L20;Dermite atopique
L21;Dermite séborrhéique
L22;Dermite fessière du nourrisson
L23;Dermite allergique de contact
L24;Dermite irritante de contact
L25;Dermite de contact, sans précision
L26;Dermite exfoliatrice
L27;Dermite due à des substances prises par voie interne
L28;Lichen simplex chronique et prurigo
L29;Prurit
L30;Autres dermites
L40;Psoriasis
L41;Parapsoriasis
L42;Pityriasis rosé de Gibert
L43;Lichen plan
L44;Autres lésions papulosquameuses
L45;Lésions papulosquameuses au cours de maladies classées ailleurs
L50;Urticaire
L51;Érythème polymorphe
L52;Érythème noueux
L53;Autres formes d'érythème
L54;Érythèmes au cours de maladies classées ailleurs
L55;Coup de soleil
L56;Autres modifications aigües de la peau dues aux rayons ultraviolets
L57;Modifications de la peau dues à une exposition chronique aux
L58;Radiodermite
L59;Autres affections de la peau et du tissu cellulaire souscutané liées
L60;Maladies des ongles
L62;Maladies des ongles au cours de maladies classées ailleurs
L63;Pelade
L64;Alopécie androgénique
L65;Autres formes non cicatricielles de raréfaction du système pileux
L66;Alopécie cicatricielle
L67;Anomalies de la pigmentation et de la gaine capillaires
L68;Hypertrichose
L70;Acné
L71;Acné rosacée
L72;Kystes folliculaires de la peau et du tissu cellulaire souscutané
L73;Autres affections folliculaires
L74;Affections des glandes sudoripares exocrines
L75;Affections des glandes sudoripares apocrines
L80;Vitiligo
L81;Autres anomalies de la pigmentation
L82;Kératose séborrhéique
L83;Acanthosis nigricans
L84;Cors et callosités
L85;Autres épaississements de l'épiderme
L86;Kératodermie au cours de maladies classées ailleurs
L87;Anomalies de l'élimination transépidermique
L88;Pyodermite gangréneuse
L89;Ulcère de décubitus et zone de pression
L90;Affections atrophiques de la peau
L91;Affections hypertrophiques de la peau
L92;Lésions granulomateuses de la peau et du tissu cellulaire souscutané
L93;Lupus érythémateux
L94;Autres affections localisées du tissu conjonctif
L95;Vascularite [angéite] limitée à la peau, non classée ailleurs
L97;Ulcère du membre inférieur, non classé ailleurs
L98;Autres affections de la peau et du tissu cellulaire souscutané, non
L99;Autres affections de la peau et du tissu cellulaire souscutané au
M00;Arthrites à bactéries pyogènes
M01;Arthrites infectieuses directes au cours de maladies infectieuses et
M02;Arthropathies réactionnelles
M03;Arthropathies postinfectieuses et réactionnelles au cours de
M05;Polyarthrite rhumatoïde séropositive
M06;Autres polyarthrites rhumatoïdes
M07;Arthropathies psoriasiques et entéropathiques
M08;Polyarthrites juvéniles
M09;Polyarthrite juvénile au cours de maladies classées ailleurs
M10;Goutte
M11;Autres arthropathies dues à des microcristaux
M12;Autres arthropathies spécifiques
M13;Autres arthrites
M14;Arthropathies au cours d'autres maladies classées ailleurs
M15;Polyarthrose
M16;Coxarthrose [arthrose de la hanche]
M17;Gonarthrose [arthrose du genou]
M18;Arthrose de la première articulation carpométacarpienne
M19;Autres arthroses
M20;Déformations des doigts et des orteils
M21;Autres déformations des membres
M22;Lésion de la rotule
M23;Lésion interne du genou
M24;Autres affections articulaires spécifiques
M25;Autres affections articulaires, non classées ailleurs
M30;Périartérite noueuse et affections apparentées
M31;Autres vasculopathies nécrosantes
M32;Lupus érythémateux disséminé
M33;Dermatopolymyosite
M34;Sclérose systémique
M35;Autres atteintes systémiques du tissu conjonctif
M36;Atteintes systémiques du tissu conjonctif au cours de maladies
M40;Cyphose et lordose
M41;Scoliose
M42;Ostéochondrite vertébrale
M43;Autres dorsopathies avec déformation
M45;Spondylarthrite ankylosante [4. Stelle: 0-9]
M450;Spondylarthrite ankylosante: Localisations vertébrales multiples
M451;Spondylarthrite ankylosante: Région occipito-atloïdo-axoïdienne
M452;Spondylarthrite ankylosante: Région cervicale
M453;Spondylarthrite ankylosante: Région cervicodorsal
M454;Spondylarthrite ankylosante: Région dorsale
M455;Spondylarthrite ankylosante: Région dorsolombaire
M456;Spondylarthrite ankylosante: Région lombaire
M457;Spondylarthrite ankylosante: Région lombosacrée
M458;Spondylarthrite ankylosante: Région sacrée et sacrococcygienne
M459;Spondylarthrite ankylosante: Localisation non précisée
M46;Autres spondylopathies inflammatoires
M47;Spondylarthrose
M48;Autres spondylopathies
M49;Spondylopathies au cours de maladies classées ailleurs
M50;Atteintes des disques cervicaux
M51;Atteintes d'autres disques intervertébraux
M53;Autres dorsopathies, non classées ailleurs
M54;Dorsalgies
M60;Myosite
M61;Calcification et ossification de muscles
M62;Autres atteintes musculaires
M63;Atteintes musculaires au cours de maladies classées ailleurs
M65;Synovite et ténosynovite
M66;Déchirure spontanée de la synoviale et du tendon
M67;Autres atteintes de la synoviale et du tendon
M68;Atteintes de la synoviale et du tendon au cours de maladies classées
M70;Affections des tissus mous par sollicitation excessive de
M71;Autres bursopathies
M72;Affections fibroblastiques
M73;Affections des tissus mous au cours de maladies classées ailleurs
M75;Lésions de l'épaule
M76;Enthésopathies du membre inférieur, sauf le pied
M77;Autres enthésopathies
M79;Autres affections des tissus mous, non classées ailleurs
M80;Ostéoporose avec fracture pathologique
M81;Ostéoporose sans fracture pathologique
M82;Ostéoporose au cours de maladies classées ailleurs
M83;Ostéomalacie de l'adulte
M84;Anomalie de la continuité osseuse
M85;Autres anomalies de la densité et de la structure osseuses
M86;Ostéomyélite
M87;Ostéonécrose
M88;Maladie osseuse de Paget [ostéite déformante]
M89;Autres maladies osseuses
M90;Ostéopathie au cours de maladies classées ailleurs
M91;Ostéochondrite juvénile de la hanche et du bassin
M92;Autres ostéochondrites juvéniles
M93;Autres ostéochondropathies
M94;Autres affections du cartilage
M95;Autres déformations du système ostéoarticulaire, des muscles et du
M96;Affections du système ostéoarticulaire et des muscles après un acte
M99;Lésions biomécaniques, non classées ailleurs
N00;Syndrome néphritique aigu
N01;Syndrome néphritique d'évolution rapide
N02;Hématurie récidivante et persistante
N03;Syndrome néphritique chronique
N04;Syndrome néphrotique
N05;Syndrome néphritique, sans précision
N06;Protéinurie isolée avec lésions morphologiques précisées
N07;Néphropathie héréditaire, non classée ailleurs
N08;Glomérulopathies au cours de maladies classées ailleurs
N10;Néphrite tubulo-interstitielle aigüe
N11;Néphrite tubulo-interstitielle chronique
N12;Néphrite tubulo-interstitielle, non précisée comme aigüe ou
N13;Uropathie obstructive et par reflux
N14;Atteintes tubulo-interstitielles et tubulaires dues à des
N15;Autres maladies rénales tubulo-interstitielles
N16;Maladies rénales tubulo-interstitielles au cours de maladies
N17;Insuffisance rénale aigüe
N18;Maladie rénale chronique
N19;Défaillance rénale, sans précision
N20;Calcul du rein et de l'uretère
N21;Calcul des voies urinaires inférieures
N22;Calcul des voies urinaires au cours de maladies classées ailleurs
N23;Colique néphrétique, sans précision
N25;Affections dues à une tubulopathie
N26;Rein scléreux, sans précision
N27;Petit rein de cause inconnue
N28;Autres affections du rein et de l'uretère, non classées ailleurs
N29;Autres affections du rein et de l'uretère au cours de maladies
N30;Cystite
N31;Dysfonctionnement neuromusculaire de la vessie, non classé ailleurs
N32;Autres affections de la vessie
N33;Affections de la vessie au cours de maladies classées ailleurs
N34;Urétrite et syndrome urétral
N35;Rétrécissement urétral
N36;Autres affections de l'urètre
N37;Affections de l'urètre au cours de maladies classées ailleurs
N39;Autres affections de l'appareil urinaire
N40;Hyperplasie de la prostate
N41;Affections inflammatoires de la prostate
N42;Autres affections de la prostate
N43;Hydrocèle et spermatocèle
N44;Torsion du testicule
N45;Orchite et épididymite
N46;Stérilité, chez l'homme
N47;Hypertrophie du prépuce, phimosis et paraphimosis
N48;Autres affections de la verge
N49;Affections inflammatoires des organes génitaux de l'homme, non
N50;Autres affections des organes génitaux de l'homme
N51;Affections des organes génitaux de l'homme au cours de maladies
N60;Dysplasies mammaires bénignes
N61;Affections inflammatoires du sein
N62;Hypertrophie mammaire
N63;Tuméfaction mammaire, sans précision
N64;Autres affections du sein
N70;Salpingite et ovarite
N71;Affections inflammatoires de l'utérus, à l'exclusion du col
N72;Affections inflammatoires du col de l'utérus
N73;Autres affections inflammatoires pelviennes de la femme
N74;Affections inflammatoires pelviennes de la femme, au cours de
N75;Affection de la glande de Bartholin
N76;Autres inflammations du vagin et de la vulve
N77;Ulcération et inflammation vulvovaginales au cours de maladies
N80;Endométriose
N81;Prolapsus génital
N82;Fistules de l'appareil génital de la femme
N83;Affections non inflammatoires de l'ovaire, de la trompe de Fallope
N84;Polype de l'appareil génital de la femme
N85;Autres affections non inflammatoires de l'utérus, sauf le col
N86;Érosion et ectropion du col de l'utérus
N87;Dysplasie du col de l'utérus
N88;Autres affections non inflammatoires du col de l'utérus
N89;Autres affections non inflammatoires du vagin
N90;Autres affections non inflammatoires de la vulve et du périnée
N91;Aménorrhée, oligoménorrhée et hypoménorrhée
N92;Ménorragie, polyménorrhée et métrorragie
N93;Autres saignements anormaux de l'utérus et du vagin
N94;Douleurs et autres affections des organes génitaux de la femme et du
N95;Troubles de la ménopause et autres troubles de la périménopause
N96;Avortements à répétition
N97;Stérilité de la femme
N98;Complications de la fécondation artificielle
N99;Affections de l'appareil génito-urinaire après un acte à visée
O00;Grossesse extra-utérine
O01;Môle hydatiforme
O02;Autres produits anormaux de la conception
O03;Avortement spontané
O04;Avortement médical
O05;Autres formes d'avortement
O06;Avortement, sans précision
O07;Échec d'une tentative d'avortement
O08;Complications consécutives à un avortement, une grossesse
O10;Hypertension préexistante compliquant la grossesse, l'accouchement
O11;Prééclampsie surajoutée à une hypertension chronique
O12;Œdème et protéinurie gestationnels [liés à la grossesse] sans
O13;Hypertension gestationnelle [liée à la grossesse]
O14;Prééclampsie
O15;Éclampsie
O16;Hypertension de la mère, sans précision
O20;Hémorragie du début de la grossesse
O21;Vomissements incoercibles au cours de la grossesse
O22;Complications veineuses et hémorroïdes au cours de la grossesse
O23;Infections de l'appareil génito-urinaire au cours de la grossesse
O24;Diabète sucré au cours de la grossesse
O25;Malnutrition au cours de la grossesse
O26;Soins maternels pour d'autres affections liées principalement à la
O28;Résultats anormaux constatés au cours de l'examen prénatal
O29;Complications d'une anesthésie au cours de la grossesse
O30;Grossesse multiple
O31;Complications spécifiques à une grossesse multiple
O32;Soins maternels pour présentation anormale connue ou présumée du
O33;Soins maternels pour disproportion fœtopelvienne connue ou présumée
O34;Soins maternels pour anomalie connue ou présumée des organes
O35;Soins maternels pour anomalie et lésion fœtales, connues ou
O36;Soins maternels pour d'autres affections connues ou présumées du
O40;Hydramnios
O41;Autres anomalies du liquide amniotique et des membranes
O42;Rupture prématurée des membranes
O43;Anomalies du placenta
O44;Placenta prævia
O45;Décollement prématuré du placenta [hématome rétroplacentaire]
O46;Hémorragie précédant l'accouchement, non classée ailleurs
O47;Faux travail
O48;Grossesse prolongée
O60;Travail et accouchement prématurés [avant terme]
O61;Échec du déclenchement du travail
O62;Anomalies de la contraction utérine et de la dilatation du col
O63;Travail prolongé
O64;Dystocie due à une position et une présentation anormales du fœtus
O65;Dystocie due à une anomalie pelvienne de la mère
O66;Autres dystocies
O67;Travail et accouchement compliqués d'une hémorragie, non classée
O68;Travail et accouchement compliqués d'une détresse fœtale
O69;Travail et accouchement compliqués d'anomalies du cordon ombilical
O70;Déchirure obstétricale du périnée
O71;Autres traumatismes obstétricaux
O72;Hémorragie du postpartum
O73;Rétention du placenta et des membranes, sans hémorragie
O74;Complications de l'anesthésie au cours du travail et de
O75;Autres complications du travail et de l'accouchement, non classées
O80;Accouchement unique et spontané
O81;Accouchement unique par forceps et ventouse
O82;Accouchement unique par césarienne
O83;Autres accouchements uniques avec assistance
O84;Accouchements multiples
O85;Sepsis puerpéral
O86;Autres infections puerpérales
O87;Complications veineuses et hémorroïdes au cours de la puerpéralité
O88;Embolie obstétricale
O89;Complications de l'anesthésie au cours de la puerpéralité
O90;Complications puerpérales, non classées ailleurs
O91;Infections mammaires associées à l'accouchement
O92;Autres mastopathies et anomalies de la lactation associées à
O94;Séquelles de complications de la grossesse, de l’accouchement et de
O95;Mort d'origine obstétricale de cause non précisée
O96;Mort d'origine obstétricale, survenant plus de 42 jours mais moins
O97;Mort de séquelles relevant d'une cause obstétricale
O98;Maladies infectieuses et parasitaires de la mère classées ailleurs
O99;Autres maladies de la mère classées ailleurs, mais compliquant la
P00;Fœtus et nouveau-né affectés par des affections maternelles,
P01;Fœtus et nouveau-né affectés par les complications de la grossesse
P02;Fœtus et nouveau-né affectés par des complications concernant le
P03;Fœtus et nouveau-né affectés par d'autres complications du travail
P04;Fœtus et nouveau-né affectés par des effets nocifs transmis par voie
P05;Retard de croissance et malnutrition du fœtus
P07;Anomalies liées à une brièveté de la gestation et un poids
P08;Anomalies liées à une gestation prolongée et un poids élevé à la
P10;Déchirure et hémorragie intracrâniennes dues à un traumatisme
P11;Autres lésions du système nerveux central dues à un traumatisme
P12;Lésion du cuir chevelu due à un traumatisme obstétrical
P13;Lésion du squelette due à un traumatisme obstétrical
P14;Lésion du système nerveux périphérique due à un traumatisme
P15;Autres traumatismes obstétricaux
P20;Hypoxie intra-utérine
P21;Asphyxie obstétricale
P22;Détresse respiratoire du nouveau-né
P23;Pneumopathie congénitale
P24;Syndromes d'inhalation du nouveau-né
P25;Emphysème interstitiel et affections apparentées survenant pendant
P26;Hémorragie pulmonaire survenant pendant la période périnatale
P27;Maladies respiratoires chroniques survenant pendant la période
P28;Autres affections respiratoires survenant pendant la période
P29;Affections cardiovasculaires survenant pendant la période périnatale
P35;Maladies virales congénitales
P36;Infection bactérienne du nouveau-né
P37;Autres maladies infectieuses et parasitaires congénitales
P38;Omphalite du nouveau-né, avec ou sans hémorragie modérée
P39;Autres infections spécifiques de la période périnatale
P50;Perte de sang fœtal
P51;Hémorragie ombilicale du nouveau-né
P52;Hémorragie intracrânienne non traumatique du fœtus et du nouveau-né
P53;Maladie hémorragique du fœtus et du nouveau-né
P54;Autres hémorragies du nouveau-né
P55;Maladie hémolytique du fœtus et du nouveau-né
P56;Anasarque fœtoplacentaire due à une maladie hémolytique
P57;Ictère nucléaire
P58;Ictère du nouveau-né dû à d'autres hémolyses excessives
P59;Ictère du nouveau-né dû à des causes autres et sans précision
P60;Coagulation intravasculaire disséminée chez le fœtus et le
P61;Autres affections hématologiques de la période périnatale
P70;Anomalies transitoires du métabolisme des glucides spécifiques du
P71;Anomalies transitoires du métabolisme du calcium et du magnésium du
P72;Autres anomalies endocriniennes transitoires du nouveau-né
P74;Autres anomalies électrolytiques et métaboliques transitoires du
P75;Iléus méconial dans la fibrose kystique du pancréas [mucoviscidose]
P76;Autres occlusions intestinales du nouveau-né
P77;Entérocolite nécrosante du fœtus et du nouveau-né
P78;Autres affections périnatales de l'appareil digestif
P80;Hypothermie du nouveau-né
P81;Autres troubles de la régulation thermique du nouveau-né
P83;Autres affections des téguments spécifiques du fœtus et du
P90;Convulsions du nouveau-né
P91;Autres affections cérébrales du nouveau-né
P92;Problèmes alimentaires du nouveau-né
P93;Réactions et intoxications médicamenteuses du fœtus et du nouveau-né
P94;Anomalies du tonus musculaire du nouveau-né
P95;Mort fœtale de cause non précisée
P96;Autres affections dont l'origine se situe dans la période périnatale
Q00;Anencéphalie et malformations similaires
Q01;Encéphalocèle
Q02;Microcéphalie
Q03;Hydrocéphalie congénitale
Q04;Autres malformations congénitales de l'encéphale
Q05;Spina bifida
Q06;Autres malformations congénitales de la moelle épinière
Q07;Autres malformations congénitales du système nerveux
Q10;Malformations congénitales des paupières, de l'appareil lacrymal et
Q11;Anophtalmie, microphtalmie et macrophtalmie
Q12;Malformations congénitales du cristallin
Q13;Malformations congénitales de la chambre antérieure de l'œil
Q14;Malformations congénitales de la chambre postérieure de l'œil
Q15;Autres malformations congénitales de l'œil
Q16;Malformations congénitales de l'oreille avec atteinte de l'audition
Q17;Autres malformations congénitales de l'oreille
Q18;Autres malformations congénitales de la face et du cou
Q20;Malformations congénitales des cavités et des orifices cardiaques
Q21;Malformations congénitales des cloisons cardiaques
Q22;Malformations congénitales de la valve pulmonaire et de la valvule
Q23;Malformations congénitales des valvules aortique et mitrale
Q24;Autres malformations congénitales cardiaques
Q25;Malformations congénitales des gros vaisseaux
Q26;Malformations congénitales des grandes veines
Q27;Autres malformations congénitales de l'appareil circulatoire
Q28;Autres malformations congénitales de l'appareil circulatoire
Q30;Malformations congénitales du nez
Q31;Malformations congénitales du larynx
Q32;Malformations congénitales de la trachée et des bronches
Q33;Malformations congénitales du poumon
Q34;Autres malformations congénitales de l'appareil respiratoire
Q35;Fente palatine
Q36;Fente labiale
Q37;Fente labiopalatine
Q38;Autres malformations congénitales de la langue, de la bouche et du
Q39;Malformations congénitales de l'œsophage
Q40;Autres malformations congénitales des voies digestives supérieures
Q41;Absence, atrésie et sténose congénitales de l'intestin grêle
Q42;Absence, atrésie et sténose congénitales du gros intestin
Q43;Autres malformations congénitales de l'intestin
Q44;Malformations congénitales de la vésicule biliaire, des voies
Q45;Autres malformations congénitales de l'appareil digestif
Q50;Malformations congénitales des ovaires, des trompes de Fallope et
Q51;Malformations congénitales de l'utérus et du col de l'utérus
Q52;Autres malformations congénitales des organes génitaux de la femme
Q53;Cryptorchidie
Q54;Hypospadias
Q55;Autres malformations congénitales des organes génitaux de l'homme
Q56;Non-différenciation sexuelle et pseudohermaphrodisme
Q60;Agénésie rénale et autres défauts de développement rénal
Q61;Maladies kystiques du rein
Q62;Anomalies congénitales obstructives du bassinet et malformations
Q63;Autres malformations congénitales du rein
Q64;Autres malformations congénitales de l'appareil urinaire
Q65;Anomalies morphologiques congénitales de la hanche
Q66;Anomalies morphologiques congénitales du pied
Q67;Anomalies morphologiques congénitales de la tête, de la face, du
Q68;Autres anomalies morphologiques congénitales ostéoarticulaires et
Q69;Polydactylie
Q70;Syndactylie
Q71;Raccourcissement du membre supérieur
Q72;Raccourcissement du membre inférieur
Q73;Raccourcissement d'un membre non précisé
Q74;Autres malformations congénitales d'un (des) membre(s)
Q75;Autres malformations congénitales des os du crâne et de la face
Q76;Malformations congénitales du rachis et du thorax osseux
Q77;Ostéo-chondro-dysplasie avec anomalies de la croissance des os longs
Q78;Autres ostéo-chondro-dysplasies
Q79;Malformations congénitales du système ostéoarticulaire et des
Q80;Ichtyose congénitale
Q81;Épidermolyse bulleuse
Q82;Autres malformations congénitales de la peau
Q83;Malformations congénitales du sein
Q84;Autres malformations congénitales de la peau et des phanères
Q85;Phacomatoses, non classées ailleurs
Q86;Syndromes congénitaux malformatifs dus à des causes exogènes
Q87;Autres syndromes congénitaux malformatifs précisés atteignant
Q89;Autres malformations congénitales, non classées ailleurs
Q90;Syndrome de Down
Q91;Syndrome d'Edwards et syndrome de Patau
Q92;Autres trisomies et trisomies partielles des autosomes, non classées
Q93;Monosomies et délétions des autosomes, non classées ailleurs
Q95;Réarrangements équilibrés et marqueurs structuraux, non classés
Q96;Syndrome de Turner
Q97;Autres anomalies des chromosomes sexuels, phénotype féminin, non
Q98;Autres anomalies des chromosomes sexuels, phénotype masculin, non
Q99;Autres anomalies des chromosomes, non classées ailleurs
R00;Anomalies du rythme cardiaque
R01;Souffles et autres bruits cardiaques
R02;Gangrène, non classée ailleurs
R03;Constatation d'une anomalie de la tension artérielle, sans
R04;Hémorragie des voies respiratoires
R05;Toux
R06;Anomalies de la respiration
R07;Douleur au niveau de la gorge et du thorax
R09;Autres symptômes et signes relatifs aux appareils circulatoire et
R10;Douleur abdominale et pelvienne
R11;Nausées et vomissements
R12;Pyrosis
R13;Dysphagie
R14;Flatulence et troubles apparentés
R15;Incontinence des matières fécales
R16;Hépatomégalie et splénomégalie, non classées ailleurs
R17;Ictère, sans précision
R18;Ascite
R19;Autres symptômes et signes relatifs à l'appareil digestif et à
R20;Troubles de la sensibilité cutanée
R21;Rash et autres éruptions cutanées non spécifiques
R22;Autres tuméfactions et masses localisées de la peau et du tissu
R23;Autres modifications de la peau
R25;Mouvements involontaires anormaux
R26;Anomalies de la démarche et de la motilité
R27;Autres troubles de la coordination
R29;Autres symptômes et signes relatifs aux systèmes nerveux et
R30;Douleur à la miction
R31;Hématurie, sans précision
R32;Incontinence urinaire, sans précision
R33;Rétention d'urine
R34;Anurie et oligurie
R35;Polyurie
R36;Écoulement urétral
R39;Autres symptômes et signes relatifs à l'appareil urinaire
R40;Somnolence, stupeur et coma
R41;Autres symptômes et signes relatifs aux fonctions cognitives et à la
R42;Étourdissements et éblouissements
R43;Troubles de l'odorat et du gout
R44;Autres symptômes et signes relatifs aux sensations et aux
R45;Symptômes et signes relatifs à l'humeur
R46;Symptômes et signes relatifs à l'apparence et au comportement
R47;Troubles du language, non classés ailleurs
R48;Dyslexie et autres troubles de la fonction symbolique, non classés
R49;Troubles de la voix
R50;Fièvre d'origine autre et inconnue
R51;Céphalée
R52;Douleur, non classée ailleurs
R53;Malaise et fatigue
R54;Sénilité
R55;Syncope et collapsus
R56;Convulsions, non classées ailleurs
R57;Choc, non classé ailleurs
R58;Hémorragie, non classée ailleurs
R59;Adénopathies
R60;Œdème, non classé ailleurs
R61;Hyperhidrose
R62;Retard du développement physiologique
R63;Symptômes et signes relatifs à l'absorption d'aliments et de
R64;Cachexie
R65;Syndrome de réponse inflammatoire systémique [SRIS]
R68;Autres symptômes et signes généraux
R69;Causes inconnues et non précisées de morbidité
R70;Accélération de la vitesse de sédimentation et anomalies de la
R71;Anomalies des globules rouges
